Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
53, Nusa Tenggara Timur ,Bawang Putih (Bonggol),2025,Maret,"Rp47,467"
61, Kalimantan Barat ,Bawang Putih (Bonggol),2025,Maret,"Rp45,302"
62, Kalimantan Tengah ,Bawang Putih (Bonggol),2025,Maret,"Rp44,988"
63, Kalimantan Selatan ,Bawang Putih (Bonggol),2025,Maret,"Rp41,077"
64, Kalimantan Timur ,Bawang Putih (Bonggol),2025,Maret,"Rp45,230"
65, Kalimantan Utara ,Bawang Putih (Bonggol),2025,Maret,"Rp45,527"
71, Sulawesi Utara ,Bawang Putih (Bonggol),2025,Maret,"Rp48,260"
72, Sulawesi Tengah ,Bawang Putih (Bonggol),2025,Maret,"Rp48,995"
73, Sulawesi Selatan ,Bawang Putih (Bonggol),2025,Maret,"Rp43,526"
74, Sulawesi Tenggara ,Bawang Putih (Bonggol),2025,Maret,"Rp49,210"
75, Gorontalo ,Bawang Putih (Bonggol),2025,Maret,"Rp48,435"
76, Sulawesi Barat ,Bawang Putih (Bonggol),2025,Maret,"Rp44,777"
81, Maluku ,Bawang Putih (Bonggol),2025,Maret,"Rp46,494"
82, Maluku Utara ,Bawang Putih (Bonggol),2025,Maret,"Rp56,069"
91, Papua ,Bawang Putih (Bonggol),2025,Maret,"Rp55,013"
92, Papua Barat ,Bawang Putih (Bonggol),2025,Maret,"Rp54,148"
93, Papua Selatan ,Bawang Putih (Bonggol),2025,Maret,-
94, Papua Tengah ,Bawang Putih (Bonggol),2025,Maret,"Rp56,188"
95, Papua Pegunungan ,Bawang Putih (Bonggol),2025,Maret,-
96, Papua Barat Daya ,Bawang Putih (Bonggol),2025,Maret,"Rp52,881"
11, Aceh ,Cabai Merah Keriting,2025,Maret,"Rp39,161"
12, Sumatera Utara ,Cabai Merah Keriting,2025,Maret,"Rp38,989"
13, Sumatera Barat ,Cabai Merah Keriting,2025,Maret,"Rp43,030"
14, Riau ,Cabai Merah Keriting,2025,Maret,"Rp51,473"
15, Jambi ,Cabai Merah Keriting,2025,Maret,"Rp37,031"
16, Sumatera Selatan ,Cabai Merah Keriting,2025,Maret,"Rp48,708"
17, Bengkulu ,Cabai Merah Keriting,2025,Maret,"Rp43,896"
18, Lampung ,Cabai Merah Keriting,2025,Maret,"Rp45,696"
19, Kepulauan Bangka Belitung ,Cabai Merah Keriting,2025,Maret,"Rp59,970"
21, Kepulauan Riau ,Cabai Merah Keriting,2025,Maret,"Rp72,879"
31, DKI Jakarta ,Cabai Merah Keriting,2025,Maret,"Rp58,912"
32, Jawa Barat ,Cabai Merah Keriting,2025,Maret,"Rp52,445"
33, Jawa Tengah ,Cabai Merah Keriting,2025,Maret,"Rp43,594"
34, D.I Yogyakarta ,Cabai Merah Keriting,2025,Maret,"Rp48,314"
35, Jawa Timur ,Cabai Merah Keriting,2025,Maret,"Rp43,974"
36, Banten ,Cabai Merah Keriting,2025,Maret,"Rp50,556"
51, Bali ,Cabai Merah Keriting,2025,Maret,"Rp52,470"
52, Nusa Tenggara Barat ,Cabai Merah Keriting,2025,Maret,"Rp71,288"
53, Nusa Tenggara Timur ,Cabai Merah Keriting,2025,Maret,"Rp60,831"
61, Kalimantan Barat ,Cabai Merah Keriting,2025,Maret,"Rp91,378"
62, Kalimantan Tengah ,Cabai Merah Keriting,2025,Maret,"Rp87,516"
63, Kalimantan Selatan ,Cabai Merah Keriting,2025,Maret,"Rp70,727"
64, Kalimantan Timur ,Cabai Merah Keriting,2025,Maret,"Rp66,004"
65, Kalimantan Utara ,Cabai Merah Keriting,2025,Maret,"Rp81,744"
71, Sulawesi Utara ,Cabai Merah Keriting,2025,Maret,"Rp45,773"
72, Sulawesi Tengah ,Cabai Merah Keriting,2025,Maret,"Rp45,840"
73, Sulawesi Selatan ,Cabai Merah Keriting,2025,Maret,"Rp40,833"
74, Sulawesi Tenggara ,Cabai Merah Keriting,2025,Maret,"Rp58,543"
75, Gorontalo ,Cabai Merah Keriting,2025,Maret,"Rp47,998"
76, Sulawesi Barat ,Cabai Merah Keriting,2025,Maret,"Rp47,266"
81, Maluku ,Cabai Merah Keriting,2025,Maret,"Rp64,354"
82, Maluku Utara ,Cabai Merah Keriting,2025,Maret,"Rp62,971"
91, Papua ,Cabai Merah Keriting,2025,Maret,"Rp62,962"
92, Papua Barat ,Cabai Merah Keriting,2025,Maret,"Rp59,327"
93, Papua Selatan ,Cabai Merah Keriting,2025,Maret,-
94, Papua Tengah ,Cabai Merah Keriting,2025,Maret,"Rp60,327"
95, Papua Pegunungan ,Cabai Merah Keriting,2025,Maret,"Rp83,929"
96, Papua Barat Daya ,Cabai Merah Keriting,2025,Maret,"Rp68,453"
11, Aceh ,Cabai Rawit Merah,2025,Maret,"Rp41,250"
12, Sumatera Utara ,Cabai Rawit Merah,2025,Maret,"Rp53,158"
13, Sumatera Barat ,Cabai Rawit Merah,2025,Maret,"Rp56,446"
14, Riau ,Cabai Rawit Merah,2025,Maret,"Rp74,173"
15, Jambi ,Cabai Rawit Merah,2025,Maret,"Rp86,927"
16, Sumatera Selatan ,Cabai Rawit Merah,2025,Maret,"Rp78,177"
17, Bengkulu ,Cabai Rawit Merah,2025,Maret,"Rp73,740"
18, Lampung ,Cabai Rawit Merah,2025,Maret,"Rp66,043"
19, Kepulauan Bangka Belitung ,Cabai Rawit Merah,2025,Maret,"Rp89,473"
21, Kepulauan Riau ,Cabai Rawit Merah,2025,Maret,"Rp90,748"
31, DKI Jakarta ,Cabai Rawit Merah,2025,Maret,"Rp106,858"
32, Jawa Barat ,Cabai Rawit Merah,2025,Maret,"Rp95,341"
33, Jawa Tengah ,Cabai Rawit Merah,2025,Maret,"Rp83,744"
34, D.I Yogyakarta ,Cabai Rawit Merah,2025,Maret,"Rp84,803"
35, Jawa Timur ,Cabai Rawit Merah,2025,Maret,"Rp83,791"
36, Banten ,Cabai Rawit Merah,2025,Maret,"Rp97,382"
51, Bali ,Cabai Rawit Merah,2025,Maret,"Rp85,601"
52, Nusa Tenggara Barat ,Cabai Rawit Merah,2025,Maret,"Rp112,141"
53, Nusa Tenggara Timur ,Cabai Rawit Merah,2025,Maret,"Rp58,747"
61, Kalimantan Barat ,Cabai Rawit Merah,2025,Maret,"Rp112,165"
62, Kalimantan Tengah ,Cabai Rawit Merah,2025,Maret,"Rp116,310"
63, Kalimantan Selatan ,Cabai Rawit Merah,2025,Maret,"Rp101,855"
64, Kalimantan Timur ,Cabai Rawit Merah,2025,Maret,"Rp103,296"
65, Kalimantan Utara ,Cabai Rawit Merah,2025,Maret,"Rp129,256"
71, Sulawesi Utara ,Cabai Rawit Merah,2025,Maret,"Rp95,415"
72, Sulawesi Tengah ,Cabai Rawit Merah,2025,Maret,"Rp73,749"
73, Sulawesi Selatan ,Cabai Rawit Merah,2025,Maret,"Rp70,992"
74, Sulawesi Tenggara ,Cabai Rawit Merah,2025,Maret,"Rp68,308"
75, Gorontalo ,Cabai Rawit Merah,2025,Maret,"Rp86,408"
76, Sulawesi Barat ,Cabai Rawit Merah,2025,Maret,"Rp75,462"
81, Maluku ,Cabai Rawit Merah,2025,Maret,"Rp70,772"
82, Maluku Utara ,Cabai Rawit Merah,2025,Maret,"Rp99,072"
91, Papua ,Cabai Rawit Merah,2025,Maret,"Rp75,978"
92, Papua Barat ,Cabai Rawit Merah,2025,Maret,"Rp67,942"
93, Papua Selatan ,Cabai Rawit Merah,2025,Maret,-
94, Papua Tengah ,Cabai Rawit Merah,2025,Maret,"Rp65,565"
95, Papua Pegunungan ,Cabai Rawit Merah,2025,Maret,"Rp97,500"
96, Papua Barat Daya ,Cabai Rawit Merah,2025,Maret,"Rp69,344"
11, Aceh ,Daging Sapi Murni,2025,Maret,"Rp152,813"
12, Sumatera Utara ,Daging Sapi Murni,2025,Maret,"Rp130,113"
13, Sumatera Barat ,Daging Sapi Murni,2025,Maret,"Rp143,518"
14, Riau ,Daging Sapi Murni,2025,Maret,"Rp147,040"
15, Jambi ,Daging Sapi Murni,2025,Maret,"Rp137,229"
16, Sumatera Selatan ,Daging Sapi Murni,2025,Maret,"Rp138,718"
17, Bengkulu ,Daging Sapi Murni,2025,Maret,"Rp137,149"
18, Lampung ,Daging Sapi Murni,2025,Maret,"Rp135,231"
19, Kepulauan Bangka Belitung ,Daging Sapi Murni,2025,Maret,"Rp143,571"
21, Kepulauan Riau ,Daging Sapi Murni,2025,Maret,"Rp159,327"
31, DKI Jakarta ,Daging Sapi Murni,2025,Maret,"Rp138,431"
32, Jawa Barat ,Daging Sapi Murni,2025,Maret,"Rp136,235"
33, Jawa Tengah ,Daging Sapi Murni,2025,Maret,"Rp132,032"
34, D.I Yogyakarta ,Daging Sapi Murni,2025,Maret,"Rp135,436"
35, Jawa Timur ,Daging Sapi Murni,2025,Maret,"Rp118,531"
36, Banten ,Daging Sapi Murni,2025,Maret,"Rp134,734"
51, Bali ,Daging Sapi Murni,2025,Maret,"Rp119,925"
52, Nusa Tenggara Barat ,Daging Sapi Murni,2025,Maret,"Rp122,506"
53, Nusa Tenggara Timur ,Daging Sapi Murni,2025,Maret,"Rp113,980"
61, Kalimantan Barat ,Daging Sapi Murni,2025,Maret,"Rp155,251"
62, Kalimantan Tengah ,Daging Sapi Murni,2025,Maret,"Rp156,383"
63, Kalimantan Selatan ,Daging Sapi Murni,2025,Maret,"Rp155,300"
